episode,global_step,reward,steps,success,collision,out_of_altitude,final_distance,epsilon,mean_loss
1,9,-96.03192445430123,9,0,0,1,30.344919359900018,0.999829,nan
2,22,-97.04007118055355,13,0,0,1,30.748992863721377,0.999582,nan
3,132,-81.43625747235038,110,0,0,1,20.522085869824238,0.997492,nan
4,169,-90.28275642963295,37,0,0,1,26.770335348465547,0.996789,nan
5,223,-85.9306241337761,54,0,1,0,24.169269200537123,0.995763,nan
6,299,-85.81585791147756,76,0,1,0,23.561886089387844,0.994319,nan
7,400,-84.56729791019441,101,0,0,1,22.312606088746257,0.9924,nan
8,539,-79.44830680727179,139,0,0,1,18.803110397285426,0.989759,nan
9,659,-77.10918069111219,120,0,0,1,18.108547339205607,0.987479,nan
10,756,-74.43157643489073,97,0,0,1,17.34474535109442,0.985636,nan
11,863,-87.05692033544784,107,0,0,1,23.407417161373466,0.983603,nan
12,981,-74.63051790015331,118,0,1,0,16.91921608372571,0.981361,nan
13,1083,-75.13515756879244,102,0,1,0,17.57153591804527,0.979423,1.2266233786940575
14,1174,-87.72692633853522,91,0,0,1,24.142420302916655,0.977694,1.1944767922203947
15,1252,-89.08252441966758,78,0,0,1,25.14521934348286,0.976212,1.6653243267837052
16,1402,25.597981098964343,150,0,0,0,16.004966584166873,0.973362,1.0409651323842506
17,1552,29.036634313174822,150,0,0,0,14.285639837062092,0.970512,0.8493618271003167
18,1602,-88.11363023903235,50,0,1,0,25.360772113165716,0.969562,0.8263832547143102
19,1668,-85.1344649000735,66,0,1,0,23.47118972348134,0.968308,1.2405307147807132
20,1690,-96.16555219740833,22,0,1,0,30.086733092353708,0.96789,1.2881043447096916
21,1738,-83.37336307886373,48,0,1,0,23.040638673080927,0.966978,1.2448402194616695
22,1853,-69.49644279307624,115,0,1,0,14.427178530187161,0.964793,0.9062844772134786
23,1885,-85.37278038070855,32,0,0,1,24.440347882234718,0.964185,1.467153214616701
24,2019,-69.63013571890963,134,0,1,0,14.019024853104327,0.961639,0.9885524966503814
25,2121,-86.66144138126037,102,0,0,1,23.334677964074782,0.959701,1.0308071988653027
26,2165,-84.98856884368165,44,0,1,0,23.948241555489894,0.958865,0.6563033572694456
27,2300,-76.16564569481933,135,0,0,1,17.261780539290104,0.9563,1.0755034185256118
28,2364,-85.97720588779137,64,0,1,0,23.942560075385614,0.955084,0.842552788410103
29,2439,-90.77678526135324,75,0,1,0,26.067349904121226,0.953659,1.091141984704882
30,2589,30.709921986707222,150,0,0,0,13.448996140295415,0.950809,1.0899561506292472
31,2633,-85.00811433180125,44,0,1,0,23.95801429954969,0.949973,1.425441476389427
32,2735,-73.2477274996805,102,0,0,1,16.627820883489296,0.948035,1.1998286355131615
33,2788,-82.26215981783245,53,0,1,0,22.360037042565285,0.947028,1.1816661421490728
34,2844,-87.94474165279331,56,0,1,0,25.12632796004572,0.945964,0.7870504896522367
35,2932,-72.8144275265239,88,0,1,0,16.761171455142392,0.944292,1.0010294812646778
36,2965,-88.94158119921406,33,0,0,1,26.199747733256096,0.943665,0.6687803610481999
37,2983,-92.12511769956838,18,0,0,1,28.16651598343326,0.943323,1.0388401925512072
38,3036,-77.0504796577994,53,0,1,0,19.75419752078015,0.942316,0.9300156307740594
39,3105,-79.74003425953144,69,0,0,1,20.698974682443996,0.941005,1.0604515245886168
40,3255,36.83404122861858,150,0,0,0,10.38693637934023,0.938155,1.0359191688367475
41,3405,38.65433449420826,150,0,0,0,9.47678988654492,0.935305,1.1364310244098306
42,3555,32.02596540377392,150,0,0,0,12.790974431762091,0.932455,1.1758994771478077
43,3652,-75.69137286021373,97,0,1,0,17.97464370355146,0.930612,1.0303138526415778
44,3685,-82.36246338162685,33,0,1,0,22.91018865537845,0.9299850000000001,1.3154654436829416
45,3737,-87.80566071006048,52,0,1,0,25.156787907708527,0.928997,0.9157227944546881
46,3785,-82.59785414504839,48,0,1,0,22.652884206173262,0.928085,1.1719415754390259
47,3916,-75.20325652454522,131,0,0,1,16.880585395921656,0.925596,1.0541885264274728
48,4066,36.36158770921184,150,0,0,0,10.623163249736338,0.922746,1.274634251423801
49,4216,22.32031375491952,150,0,0,0,17.643800256189266,0.919896,0.9573837800510228
50,4269,-86.48005248788064,53,0,1,0,24.468983377589385,0.9188890000000001,1.1944690801132962
51,4324,-87.02438735684933,55,0,1,0,24.691150951869265,0.917844,0.9218742806295103
52,4432,-73.4732364363713,108,0,1,0,16.59057521094231,0.915792,1.1195064280440823
53,4582,37.67147052709282,150,0,0,0,9.968221730103139,0.912942,0.8957359556791683
54,4642,-86.5069135156502,60,0,1,0,24.307414031269687,0.911802,0.644148453650996
55,4702,-82.91160114674466,60,0,1,0,22.50975826525277,0.910662,0.9614829904555032
56,4739,-83.02985303000715,37,0,1,0,23.143883508653115,0.909959,0.9452623946441187
57,4756,-99.43163077823296,17,0,0,1,31.844772522765545,0.909636,1.1274918662384152
58,4906,42.65846631046306,150,0,0,0,7.474723838418053,0.906786,0.9554086750745774
59,5056,43.49971676252628,150,0,0,0,7.054099171415143,0.903936,0.8074127446642766
60,5159,-65.12934664534441,103,0,0,1,12.543630566589698,0.901979,0.8497700000778564
61,5309,38.68146368327349,150,0,0,0,9.46322543180784,0.8991290000000001,0.9863329295193156
62,5459,31.781675243474417,150,0,0,0,12.913119651707362,0.896279,0.9823221978110571
63,5541,-74.98455602717739,82,0,1,0,17.996235147237748,0.894721,0.8283534094963859
64,5573,-86.25857350336642,32,0,0,1,24.883244025127812,0.894113,1.2616230835556053
65,5723,33.38299614590522,150,0,0,0,12.112459060696452,0.891263,0.8530286022399862
66,5781,-85.49948033710082,58,0,1,0,23.853697162199946,0.890161,0.8948576333852292
67,5840,-73.35300988566624,59,0,1,0,17.75546207648218,0.88904,0.8182838736575538
68,5925,-73.42077537853248,85,0,1,0,17.139344822915298,0.887425,0.8649067928685862
69,6075,37.91454980050245,150,0,0,0,9.846682791629206,0.884575,0.8256332400627434
70,6159,-86.92480503035799,84,0,1,0,23.916359788623595,0.882979,0.85940540415634
71,6200,-87.68530530528407,41,0,1,0,25.3716097862911,0.8822,0.8681877748813571
72,6280,-74.91880630886769,80,0,1,0,18.013360288082897,0.88068,0.8378586384002119
73,6407,-62.608440075364754,127,0,0,1,10.68317717133143,0.878267,1.0938876159489155
74,6455,-87.52458859358589,48,0,1,0,25.116251570237537,0.877355,0.6320650468502814
75,6493,-80.94617501151944,38,0,1,0,22.077044639408786,0.876633,1.2727572582662106
76,6545,-83.62783122354689,52,0,1,0,23.067873273292022,0.875645,0.8362341028853104
77,6588,-86.28888989451525,43,0,0,1,24.623401940907165,0.874828,0.41407849007221154
78,6738,44.99400936716496,150,0,0,0,6.306952450066575,0.871978,0.8666019391951462
79,6799,-82.65712314549063,61,0,1,0,22.357519264625765,0.870819,1.152388156513821
80,6840,-84.80036093518657,41,0,1,0,23.92913760124236,0.87004,1.0494806278814994
81,6892,-85.10715314082272,52,0,1,0,23.807533843855957,0.869052,0.889668072735031
82,7042,41.93501281094861,150,0,0,0,7.836450728174756,0.866202,1.0069208100003502
83,7073,-86.57669794195745,31,0,0,1,25.067306075320996,0.865613,1.338167562600105
84,7191,-68.11011113282149,118,0,1,0,13.659012700059789,0.863371,1.196933330415543
85,7341,47.393349300478455,150,0,0,0,5.10728248340985,0.860521,1.1439945398643614
86,7416,-74.60121685030273,75,0,1,0,17.97956555880042,0.859096,0.8044023370494445
87,7427,-95.80665649274074,11,0,1,0,30.18228538001944,0.858887,1.4333484050902454
88,7577,43.137922611855565,150,0,0,0,7.2349958277212965,0.8560369999999999,0.8215535805001855
89,7628,-85.27241882355689,51,0,1,0,23.915166545427514,0.8550679999999999,0.8199837157393203
90,7655,-83.24144508354824,27,0,1,0,23.49967967542319,0.854555,0.6070455304450459
91,7754,-74.58262584732113,99,0,0,1,17.37026991731008,0.852674,1.029793981933082
92,7793,-84.52180426915544,39,0,1,0,23.839859268226785,0.851933,0.8448988639582427
93,7829,-84.15196372804085,36,0,1,0,23.729938857669964,0.851249,0.6648451734023789
94,7873,-84.40775966276306,44,0,1,0,23.657836825031065,0.8504130000000001,0.7276765699921683
95,7897,-83.1986174079417,24,0,1,0,23.553265837619914,0.8499570000000001,0.7231207058454553
96,7940,-81.03791070813548,43,0,1,0,21.997912487716807,0.84914,0.7111590218318756
97,8008,-74.24432618397003,68,0,1,0,17.976120225634077,0.847848,0.8921660325928208
98,8158,32.658533867840205,150,0,0,0,12.474690059729408,0.844998,0.730121042629083
99,8204,-85.85789881784932,46,0,1,0,24.332906542573728,0.844124,1.0853898238957576
100,8260,-86.33145459306958,56,0,1,0,24.319684569979387,0.84306,0.7392951134326202
101,8344,-75.17969966539904,84,0,1,0,18.043806824206268,0.841464,1.02838856839974
102,8357,-94.37702038768516,13,0,1,0,29.417467467287185,0.841217,0.822672466819103
103,8390,-87.85841695403542,33,0,1,0,25.658165750462306,0.84059,1.5582584899031755
104,8540,49.9665782301878,150,0,0,0,3.820668158350696,0.83774,1.06866197037821
105,8690,42.49228474236801,150,0,0,0,7.557814762465055,0.83489,1.2782698315009475
106,8803,-83.49187610689323,113,0,1,0,21.474895187095655,0.832743,1.1735438560424125
107,8842,-86.59939045575456,39,0,1,0,24.87865222152682,0.832002,0.8679850253825768
108,8900,-72.34317229180965,58,0,1,0,17.275543279553883,0.8309,0.8707679745837532
109,9050,26.515008114347406,150,0,0,0,15.546453076475364,0.82805,1.0319916466996073
110,9083,-82.4636227161632,33,0,1,0,22.96076849173066,0.827423,1.3227072913538327
111,9185,-72.06985089521126,102,0,0,1,16.038882581254676,0.825485,0.9798190659825124
112,9210,-89.4492664777493,25,0,0,1,26.653590930755108,0.82501,0.7492147669941187
113,9249,-83.49278033159193,39,0,1,0,23.3253471594455,0.824269,0.925113709595723
114,9387,-66.78176792301079,138,0,0,1,12.494841708118425,0.821647,0.9863316890365188
115,9441,-85.93483891241695,54,0,1,0,24.171376589857537,0.820621,1.5229748737204958
116,9554,-65.42981905961115,113,0,1,0,12.443866803250167,0.818474,1.1825144180319214
117,9660,-56.488884932931484,106,0,1,0,8.148399739910353,0.81646,1.1509685471548505
118,9702,-84.02421256210249,42,0,1,0,23.51606355449584,0.815662,0.9744604646804786
119,9748,-84.42003658608257,46,0,1,0,23.613975286690824,0.8147880000000001,1.3424579034680906
120,9826,-66.47515099613926,78,0,1,0,13.841532631718698,0.813306,0.8147011751261277
121,9884,-81.72962396386805,58,0,0,1,21.96876911558309,0.812204,1.0636926001130507
122,10034,43.76468424767061,150,0,0,0,6.921615009813783,0.809354,1.142369265295565
123,10184,41.55685720399741,150,0,0,0,8.025528670176918,0.806504,1.113097967778643
124,10222,-82.54926192922774,38,0,1,0,22.878588098262938,0.805782,0.8716696770371575
125,10288,-73.48687923272706,66,0,1,0,17.647396889808117,0.804528,1.305040959607471
126,10343,-85.43077527427715,55,0,1,0,23.894344770787644,0.8034830000000001,1.0703025825999
127,10375,-84.8851387648474,32,0,1,0,24.196527074304154,0.802875,1.0927109960466623
128,10525,40.89961146416836,150,0,0,0,8.354151958869918,0.800025,1.3245254371439417
129,10564,-85.49149183256789,39,0,1,0,24.324703608164395,0.799284,1.1724701227668004
130,10600,-83.32307792296518,36,0,1,0,23.31549595513212,0.7986,1.3936155744724803
131,10624,-84.05418270786227,24,0,1,0,23.981049045811584,0.798144,1.6467162369129558
132,10663,-85.29469136477903,39,0,1,0,24.226302814599123,0.797403,0.5533985951198981
133,10696,-83.36294487846015,33,0,1,0,23.41042957287915,0.796776,0.7622499848631296
134,10844,-60.716568648484774,148,0,0,1,9.212241597687019,0.793964,1.0180368489913039
135,10903,-85.79777617461039,59,0,1,0,23.977845220954254,0.792843,1.4067871292453196
136,10951,-73.55974236262443,48,0,0,1,18.13382845475681,0.791931,0.9988681721345832
137,11010,-72.60041131093176,59,0,1,0,17.379162789114936,0.79081,1.3487323231489983
138,11071,-75.32937580668545,61,0,0,1,18.693645595223163,0.789651,1.389001512197686
139,11113,-84.1769724318423,42,0,1,0,23.592443489365746,0.788853,1.7272728776470536
140,11179,-73.19255484956156,66,0,1,0,17.500234558429838,0.787599,1.4094206252220003
141,11225,-85.47175745055463,46,0,1,0,24.13983585892637,0.786725,1.3924586302398338
142,11289,-72.81902525042915,64,0,1,0,17.36346975886363,0.785509,0.9592568728839979
143,11310,-84.3912916021191,21,0,1,0,24.224603351162575,0.78511,1.8025043127792222
144,11365,-73.73329492606618,55,0,1,0,18.045604736477674,0.784065,1.5412270058285107
145,11509,-59.73366037012983,144,0,0,1,8.820787458509518,0.781329,1.3221267294656072
146,11550,-87.55931234395723,41,0,1,0,25.30861344542321,0.78055,1.277159971253174
147,11592,-85.57534614083951,42,0,1,0,24.291630204068817,0.779752,0.7779725825502759
148,11656,-72.11531794677427,64,0,0,1,17.01161610703619,0.778536,1.3830806313198991
149,11806,14.139081604202005,150,0,0,0,21.734416471343554,0.775686,1.035791933660706
150,11843,-84.1495259852302,37,0,1,0,23.70371998537178,0.774983,1.2538340762257576
151,11881,-87.96973922325937,38,0,1,0,25.588826745278748,0.774261,0.9298386951222232
152,12031,42.22799921330654,150,0,0,0,7.689957525376441,0.7714110000000001,1.2359509887049596
153,12104,-76.99068006896829,73,0,0,1,19.224297168133205,0.770024,1.3002183118401325
154,12128,-83.60045172238311,24,0,1,0,23.754183134636154,0.769568,1.4945867095763485
155,12172,-89.35913380620782,44,0,0,1,26.133524594984358,0.768732,1.3901241414926269
156,12322,41.774220956404726,150,0,0,0,7.916846655446725,0.765882,1.3629242949684461
157,12352,-83.00508471291494,30,0,1,0,23.306499490106535,0.765312,0.974494461218516
158,12385,-83.63484773332101,33,0,1,0,23.546381697429712,0.7646850000000001,0.8008810959079049
159,12417,-81.29423616303696,32,0,1,0,22.401075773398933,0.764077,0.8708362273173407
160,12455,-84.70141672649929,38,0,1,0,23.954665496898706,0.763355,1.0334883983197964
161,12605,43.27416908762004,150,0,0,0,7.166872589839056,0.760505,1.1620228257526954
162,12693,-76.2527448512846,88,0,1,0,18.48032955929135,0.7588330000000001,1.078741106628017
163,12731,-75.52727007535302,38,0,1,0,19.367592031326044,0.758111,1.345554401411822
164,12782,-86.2651260764397,51,0,1,0,24.411520170609393,0.757142,1.2358294058883308
165,12870,-73.92747140940708,88,0,1,0,17.31769283835259,0.75547,1.0467487913556397
166,12914,-84.27050362479666,44,0,1,0,23.5892089460474,0.754634,1.163310658990998
167,12950,-83.29437093186012,36,0,1,0,23.301142739374654,0.75395,0.9547998633546134
168,12992,-87.54748310663497,42,0,0,1,25.277698686966552,0.753152,1.23031541926875
169,13035,-84.55264312614383,43,0,1,0,23.755278696720982,0.752335,1.4306392177592877
170,13072,-83.78824478023063,37,0,1,0,23.52307952376438,0.751632,0.9195208651189869
171,13086,-98.36998078868905,14,0,0,1,31.388947947022814,0.751366,0.4344505827341761
172,13113,-83.46093505132939,27,0,1,0,23.609424659313763,0.750853,1.2370794080197811
173,13194,-71.47988551169271,81,0,1,0,16.268900447726796,0.749314,1.263038785967194
174,13242,-73.27273961361857,48,0,1,0,17.990327498689727,0.748402,1.2878217531833798
175,13328,-68.80330397385839,86,0,1,0,14.805609539607465,0.746768,1.0397450744152763
176,13360,-83.03977356636392,32,0,1,0,23.273844056626555,0.74616,1.4240846130996943
177,13441,-66.90542307409923,81,0,1,0,13.981668780967112,0.744621,1.1399090822188207
178,13591,45.73345993006928,150,0,0,0,5.937227308409974,0.741771,1.2431371613591908
179,13618,-85.90223002088288,27,0,1,0,24.830072283886043,0.741258,1.4823400615542024
180,13646,-84.76070581778446,28,0,1,0,24.234310182336827,0.740726,1.8829646876880102
181,13699,-76.42549328053937,53,0,1,0,19.441703913714274,0.739719,1.2006448767376396
182,13710,-95.42864177889727,11,0,1,0,29.993278023097712,0.73951,1.307750334793871
183,13747,-83.78639021774082,37,0,1,0,23.52215238104602,0.738807,1.5399551906094358
184,13842,-72.06480881000346,95,0,1,0,16.211361538650774,0.737002,1.2241204493139919
185,13992,44.73811778800277,150,0,0,0,6.434898239647692,0.734152,1.1691880306104818
186,14020,-84.17581586960839,28,0,1,0,23.94186506845326,0.73362,1.6159446167626552
187,14042,-85.40531279367103,22,0,0,1,24.706614088715966,0.733202,1.4137011221186682
188,14070,-82.45265425560876,28,0,1,0,23.080284261453446,0.73267,1.7222126385729228
189,14151,-64.86041108845791,81,0,1,0,12.959162677878012,0.731131,1.2957688061819401
190,14201,-84.68992410440285,50,0,1,0,23.64891918585049,0.730181,1.0346316115558147
191,14351,45.33911038860381,150,0,0,0,6.134401799347636,0.727331,1.3484843307236831
192,14441,-65.1996137551892,90,0,1,0,12.903763871244118,0.7256210000000001,1.2621995537231365
193,14591,39.802409892933035,150,0,0,0,8.90275218718256,0.722771,1.102579499905308
194,14741,47.73275285495445,150,0,0,0,4.937580706171836,0.719921,1.2055172669887542
195,14766,-87.5777286770864,25,0,0,1,25.717821472192263,0.719446,0.8988373476266861
196,14812,-81.52240683525707,46,0,1,0,22.165160551277594,0.718572,1.2345285139492024
197,14841,-84.89013982907524,29,0,1,0,24.27402704818669,0.718021,1.5024828303219944
198,14907,-72.3201941982018,66,0,0,1,17.06405423274996,0.7167669999999999,0.8350983748043125
199,14918,-93.9148705317121,11,0,1,0,29.236392399505124,0.716558,1.9153480976819992
200,14945,-82.62876755298826,27,0,1,0,23.193340910143203,0.716045,1.0022286938296423
201,15007,-74.73424220574881,62,0,1,0,18.371078236523463,0.7148669999999999,1.0936934116386599
202,15041,-84.05269593303531,34,0,1,0,23.730305100166717,0.714221,1.4147025430027176
203,15078,-82.53664938737155,37,0,1,0,22.897281827334844,0.7135180000000001,1.6642568419511254
204,15160,-69.86352382342108,82,0,0,1,15.435719045359587,0.7119599999999999,1.6135369636481856
205,15217,-72.9990404711308,57,0,1,0,17.628477927445847,0.710877,1.701714215963556
206,15367,47.2183208306402,150,0,0,0,5.194796716169835,0.708027,1.552222811356187
207,15412,-73.26829022921794,45,0,1,0,18.063102108258512,0.707172,1.068583799733056
208,15453,-83.95757449065688,41,0,1,0,23.507744937208884,0.706393,1.6129007344020576
209,15474,-93.55152395841016,21,0,0,1,28.804719671085536,0.705994,0.9775275101973897
210,15524,-81.4027404425469,50,0,1,0,22.005328052042646,0.705044,1.2895349213480949
211,15548,-81.87800326288685,24,0,1,0,22.89295862509296,0.704588,1.4098864340533812
212,15604,-67.58839538914941,56,0,1,0,14.948154967112863,0.703524,0.9869830710813403
213,15641,-82.23289001965416,37,0,1,0,22.74540214347614,0.702821,1.331104469661777
214,15688,-71.94175175787105,47,0,1,0,17.349832872585058,0.7019280000000001,1.1503061048210936
215,15797,155.807598300899,109,1,0,0,1.925157983199561,0.699857,1.0759542229662247
216,15845,-71.93150592145206,48,0,1,0,17.319710093115564,0.6989449999999999,1.3976761441056926
217,15878,-84.89052722430351,33,0,1,0,24.174220745800824,0.698318,1.1650799156138392
218,15920,-85.98603846311661,42,0,1,0,24.496976503733922,0.6975199999999999,1.4894449223010313
219,15968,-72.48370660794811,48,0,1,0,17.595810995854496,0.6966080000000001,1.6951853522720437
220,15994,-80.95273231491096,26,0,1,0,22.38032326179775,0.696114,0.5483674353991563
221,16023,-83.12164248800357,29,0,1,0,23.389778517446384,0.6955629999999999,1.7217558601806904
222,16063,-84.04240951532297,40,0,1,0,23.57516203110609,0.6948030000000001,1.0694507237523794
223,16091,-83.44694992187017,28,0,1,0,23.57743209458415,0.6942710000000001,1.6209783405065536
224,16113,-84.51842253793785,22,0,1,0,24.263168402617996,0.693853,2.118915268304673
225,16142,-83.58248531913154,29,0,1,0,23.620200490334973,0.693302,0.8648508532807745
226,16198,-72.86233020631322,56,0,1,0,17.58512279503705,0.6922379999999999,1.7199286754642213
227,16282,-58.60685960781747,84,0,1,0,9.757387495789196,0.690642,1.9880986006132193
228,16338,-73.51478991387492,56,0,1,0,17.91135209058651,0.689578,1.3808631491182106
229,16363,-82.63346123457691,25,0,1,0,23.24568775093753,0.689103,1.7370236122608185
230,16420,-72.342844205061,57,0,1,0,17.300379236179555,0.68802,1.175908598591361
231,16453,-86.22680558989725,33,0,1,0,24.8423599285977,0.6873929999999999,1.2285858878132068
232,16483,-84.54579811178799,30,0,1,0,24.07685618954306,0.686823,1.0621937178075314
233,16516,-84.79957625733809,33,0,1,0,24.128745820549494,0.686196,1.3178644114823053
234,16604,-62.38760448785924,88,0,1,0,11.547759377578688,0.684524,1.3504390695386312
235,16650,-73.02657753679895,46,0,1,0,17.91724590204854,0.68365,1.5268310922319475
236,16728,-64.47978711649475,78,0,1,0,12.843850691896435,0.682168,1.2695478266821458
237,16752,-83.0333866716914,24,0,1,0,23.470650469494764,0.681712,1.476988712946574
238,16775,-84.83038743118031,23,0,1,0,24.394150849239224,0.6812750000000001,1.3439424314900585
239,16832,-73.67849712938717,57,0,1,0,17.968206256574025,0.680192,1.1351539959248744
240,16887,-69.87133166796474,55,0,1,0,16.114622967631423,0.6791470000000001,1.9524623319506644
241,16915,-80.58055093422863,28,0,1,0,22.144233158994766,0.678615,1.4591306538454123
242,16960,-86.48055661470049,45,0,1,0,24.66923544099931,0.67776,0.9987376875347561
243,17009,-72.24604670763961,49,0,1,0,17.451981045700247,0.676829,1.6855868791439095
244,17076,-76.72114728900168,67,0,1,0,19.239530778149895,0.675556,1.7580036353041877
245,17108,-84.58633395381342,32,0,1,0,24.047124110555778,0.674948,1.0730475231539458
246,17139,-85.06703726987814,31,0,1,0,24.312475768588133,0.674359,0.7516143586366407
247,17174,-81.72313225660689,35,0,1,0,22.540523231567818,0.673694,1.7497729570737908
248,17192,-83.14458386469299,18,0,1,0,23.676249065995563,0.6733520000000001,2.0300735467010074
249,17268,-73.60117185632109,76,0,1,0,17.4545430618096,0.671908,1.7950409199356248
250,17354,-67.68894985919832,86,0,1,0,14.248432063248213,0.670274,1.844388892787487
251,17504,41.56705161253865,150,0,0,0,8.02043132737976,0.667424,1.6572895320753256
